"Area, Average Yield and Production of Vegetables by Area & Production, KIND, Crop, Level and Time"

"Area & Production";"KIND";"Crop";"Level";"2024"
"Area";"Summer";"Tomatoes";"Amman";3349.0
"Area";"Summer";"Tomatoes";"Balqa";132.9
"Area";"Summer";"Tomatoes";"Zarqa";354.4
"Area";"Summer";"Tomatoes";"Madaba";1366.9
"Area";"Summer";"Tomatoes";"Irbid";1051.8
"Area";"Summer";"Tomatoes";"Mafraq";7417.0
"Area";"Summer";"Tomatoes";"Jarash";372.1
"Area";"Summer";"Tomatoes";"Ajloun";221.5
"Area";"Summer";"Tomatoes";"Karak";1196.1
"Area";"Summer";"Tomatoes";"Tafiela";1520.1
"Area";"Summer";"Tomatoes";"Ma'an";3428.3
"Area";"Summer";"Tomatoes";"Aqaba";7418.0
"Area";"Summer";"Tomatoes";"Barn North";2061.2
"Area";"Summer";"Tomatoes";"Deir Alla";4949.2
"Area";"Summer";"Tomatoes";"Barn South";1107.5
"Area";"Summer";"Tomatoes";"Ghor Safi";3396.2
"Area";"Winter";"Tomatoes";"Amman";1013.1
"Area";"Winter";"Tomatoes";"Balqa";28.0
"Area";"Winter";"Tomatoes";"Zarqa";442.0
"Area";"Winter";"Tomatoes";"Madaba";1191.9
"Area";"Winter";"Tomatoes";"Irbid";596.0
"Area";"Winter";"Tomatoes";"Mafraq";805.4
"Area";"Winter";"Tomatoes";"Jarash";2.9
"Area";"Winter";"Tomatoes";"Ajloun";0.3
"Area";"Winter";"Tomatoes";"Karak";248.3
"Area";"Winter";"Tomatoes";"Tafiela";749.8
"Area";"Winter";"Tomatoes";"Ma'an";882.7
"Area";"Winter";"Tomatoes";"Aqaba";3604.9
"Area";"Winter";"Tomatoes";"Barn North";3047.9
"Area";"Winter";"Tomatoes";"Deir Alla";9490.7
"Area";"Winter";"Tomatoes";"Barn South";1578.5
"Area";"Winter";"Tomatoes";"Ghor Safi";14146.2
"Production";"Summer";"Tomatoes";"Amman";16744.9
"Production";"Summer";"Tomatoes";"Balqa";930.3
"Production";"Summer";"Tomatoes";"Zarqa";2126.3
"Production";"Summer";"Tomatoes";"Madaba";4784.3
"Production";"Summer";"Tomatoes";"Irbid";5259.1
"Production";"Summer";"Tomatoes";"Mafraq";55627.6
"Production";"Summer";"Tomatoes";"Jarash";1860.5
"Production";"Summer";"Tomatoes";"Ajloun";1196.1
"Production";"Summer";"Tomatoes";"Karak";7176.4
"Production";"Summer";"Tomatoes";"Tafiela";6644.8
"Production";"Summer";"Tomatoes";"Ma'an";24340.8
"Production";"Summer";"Tomatoes";"Aqaba";40799.1
"Production";"Summer";"Tomatoes";"Barn North";17932.6
"Production";"Summer";"Tomatoes";"Deir Alla";43058.3
"Production";"Summer";"Tomatoes";"Barn South";6644.8
"Production";"Summer";"Tomatoes";"Ghor Safi";30566.1
"Production";"Winter";"Tomatoes";"Amman";5065.7
"Production";"Winter";"Tomatoes";"Balqa";196.2
"Production";"Winter";"Tomatoes";"Zarqa";2652.1
"Production";"Winter";"Tomatoes";"Madaba";4171.8
"Production";"Winter";"Tomatoes";"Irbid";2979.8
"Production";"Winter";"Tomatoes";"Mafraq";6040.2
"Production";"Winter";"Tomatoes";"Jarash";14.5
"Production";"Winter";"Tomatoes";"Ajloun";1.5
"Production";"Winter";"Tomatoes";"Karak";1489.9
"Production";"Winter";"Tomatoes";"Tafiela";3277.8
"Production";"Winter";"Tomatoes";"Ma'an";6267.1
"Production";"Winter";"Tomatoes";"Aqaba";19826.9
"Production";"Winter";"Tomatoes";"Barn North";26517.0
"Production";"Winter";"Tomatoes";"Deir Alla";82569.3
"Production";"Winter";"Tomatoes";"Barn South";9470.8
"Production";"Winter";"Tomatoes";"Ghor Safi";127315.4
