"Area, Average Yield and Production of Vegetables by Area & Production, KIND, Crop, Level and Time"

"Area & Production";"KIND";"Crop";"Level";"2020";"2021";"2022";"2023";"2024"
"Area";"Summer";"Tomatoes";"Amman";2125.0;2473.0;3115.3;3217.1;3349.0
"Area";"Summer";"Tomatoes";"Balqa";71.5;644.8;160.7;127.7;132.9
"Area";"Summer";"Tomatoes";"Zarqa";390.4;372.0;428.6;340.4;354.4
"Area";"Summer";"Tomatoes";"Madaba";1707.8;948.8;1653.0;1313.1;1366.9
"Area";"Summer";"Tomatoes";"Irbid";1228.6;893.9;1271.9;1010.4;1051.8
"Area";"Summer";"Tomatoes";"Mafraq";8500.6;6110.5;7474.2;6679.5;7417.0
"Area";"Summer";"Tomatoes";"Jarash";127.5;322.6;450.0;357.5;372.1
"Area";"Summer";"Tomatoes";"Ajloun";137.6;742.7;416.7;331.0;221.5
"Area";"Summer";"Tomatoes";"Karak";3788.4;974.7;1239.8;984.8;1196.1
"Area";"Summer";"Tomatoes";"Tafiela";1192.1;1281.5;1838.2;1460.2;1520.1
"Area";"Summer";"Tomatoes";"Ma'an";4514.0;4977.3;4145.8;3293.3;3428.3
"Area";"Summer";"Tomatoes";"Aqaba";2862.6;11091.8;8970.5;7126.0;7418.0
"Area";"Summer";"Tomatoes";"Barn North";1662.2;2076.0;2409.5;1914.1;2061.2
"Area";"Summer";"Tomatoes";"Deir Alla";4652.1;4834.5;5539.4;4400.4;4949.2
"Area";"Summer";"Tomatoes";"Barn South";969.6;1047.4;1339.2;1063.9;1107.5
"Area";"Summer";"Tomatoes";"Ghor Safi";4303.7;3864.0;3905.4;3102.4;3396.2
"Area";"Summer";"Squash";"Amman";3503.0;2364.0;3350.9;4492.2;3647.8
"Area";"Summer";"Squash";"Balqa";210.8;819.1;949.0;989.5;803.5
"Area";"Summer";"Squash";"Zarqa";2146.4;1246.4;1127.3;1175.4;954.4
"Area";"Summer";"Squash";"Madaba";0.0;0.0;181.6;189.3;153.7
"Area";"Summer";"Squash";"Irbid";2371.5;1923.0;1122.9;1170.8;950.7
"Area";"Summer";"Squash";"Mafraq";825.0;690.5;739.5;771.0;626.1
"Area";"Summer";"Squash";"Jarash";621.5;369.3;579.6;604.3;490.7
"Area";"Summer";"Squash";"Ajloun";0.0;0.0;54.3;56.7;46.0
"Area";"Summer";"Squash";"Karak";0.0;0.0;214.6;223.8;181.7
"Area";"Summer";"Squash";"Tafiela";0.0;219.7;127.9;133.4;108.3
"Area";"Summer";"Squash";"Ma'an";0.0;614.8;133.2;138.9;112.8
"Area";"Summer";"Squash";"Aqaba";0.0;0.0;5.4;5.6;4.6
"Area";"Summer";"Squash";"Barn North";67.0;174.4;689.9;959.1;778.8
"Area";"Summer";"Squash";"Deir Alla";541.6;1481.4;1823.5;2570.3;2087.2
"Area";"Summer";"Squash";"Barn South";1668.8;1474.1;2072.0;2376.5;1929.8
"Area";"Summer";"Squash";"Ghor Safi";413.6;717.5;464.4;532.6;432.5
"Area";"Summer";"Eggplants";"Amman";415.1;363.8;389.1;408.8;377.1
"Area";"Summer";"Eggplants";"Balqa";0.0;282.5;138.6;145.7;134.4
"Area";"Summer";"Eggplants";"Zarqa";115.0;445.3;448.3;471.1;434.5
"Area";"Summer";"Eggplants";"Madaba";1138.5;0.0;667.9;701.8;647.3
"Area";"Summer";"Eggplants";"Irbid";0.0;255.9;62.1;65.2;60.2
"Area";"Summer";"Eggplants";"Mafraq";231.0;146.0;209.1;219.7;202.7
"Area";"Summer";"Eggplants";"Jarash";68.7;583.7;345.4;363.0;334.8
"Area";"Summer";"Eggplants";"Ajloun";0.0;0.0;19.8;20.8;19.1
"Area";"Summer";"Eggplants";"Karak";4.0;154.0;84.0;88.2;81.4
"Area";"Summer";"Eggplants";"Tafiela";0.0;0.0;3.7;3.9;3.6
"Area";"Summer";"Eggplants";"Ma'an";0.0;0.0;1.0;1.0;0.9
"Area";"Summer";"Eggplants";"Aqaba";0.0;0.0;18.4;19.4;17.9
"Area";"Summer";"Eggplants";"Barn North";770.9;1546.0;734.4;771.7;711.7
"Area";"Summer";"Eggplants";"Deir Alla";1487.0;1299.6;972.7;1022.0;942.7
