"Agriculture Prices by Marketing Costs / Prices, Level, Crop, Month and Time"

"Marketing Costs / Prices";"Level";"Crop";"Month";"2024"
"Packs";"Kingdom";"Tomatoes";"January";35.4
"Packs";"Kingdom";"Tomatoes";"February";35.4
"Packs";"Kingdom";"Tomatoes";"March";35.4
"Packs";"Kingdom";"Tomatoes";"April";35.4
"Packs";"Kingdom";"Tomatoes";"May";35.4
"Packs";"Kingdom";"Tomatoes";"June";35.4
"Packs";"Kingdom";"Tomatoes";"July";35.4
"Packs";"Kingdom";"Tomatoes";"August";35.4
"Packs";"Kingdom";"Tomatoes";"September";35.4
"Packs";"Kingdom";"Tomatoes";"October";35.4
"Packs";"Kingdom";"Tomatoes";"November";35.4
"Packs";"Kingdom";"Tomatoes";"December";35.4
"Packs";"Up-Land";"Tomatoes";"January";35.4
"Packs";"Up-Land";"Tomatoes";"February";35.4
"Packs";"Up-Land";"Tomatoes";"March";35.4
"Packs";"Up-Land";"Tomatoes";"April";35.4
"Packs";"Up-Land";"Tomatoes";"May";35.4
"Packs";"Up-Land";"Tomatoes";"June";35.4
"Packs";"Up-Land";"Tomatoes";"July";35.4
"Packs";"Up-Land";"Tomatoes";"August";35.4
"Packs";"Up-Land";"Tomatoes";"September";35.4
"Packs";"Up-Land";"Tomatoes";"October";35.4
"Packs";"Up-Land";"Tomatoes";"November";35.4
"Packs";"Up-Land";"Tomatoes";"December";35.4
"Packs";"Al-Aghouar";"Tomatoes";"January";35.4
"Packs";"Al-Aghouar";"Tomatoes";"February";35.4
"Packs";"Al-Aghouar";"Tomatoes";"March";35.4
"Packs";"Al-Aghouar";"Tomatoes";"April";35.4
"Packs";"Al-Aghouar";"Tomatoes";"May";35.4
"Packs";"Al-Aghouar";"Tomatoes";"June";35.4
"Packs";"Al-Aghouar";"Tomatoes";"July";35.4
"Packs";"Al-Aghouar";"Tomatoes";"August";35.4
"Packs";"Al-Aghouar";"Tomatoes";"September";35.4
"Packs";"Al-Aghouar";"Tomatoes";"October";35.4
"Packs";"Al-Aghouar";"Tomatoes";"November";35.4
"Packs";"Al-Aghouar";"Tomatoes";"December";35.4
"loading ";"Kingdom";"Tomatoes";"January";2.3
"loading ";"Kingdom";"Tomatoes";"February";2.3
"loading ";"Kingdom";"Tomatoes";"March";2.3
"loading ";"Kingdom";"Tomatoes";"April";2.3
"loading ";"Kingdom";"Tomatoes";"May";2.3
"loading ";"Kingdom";"Tomatoes";"June";2.3
"loading ";"Kingdom";"Tomatoes";"July";2.3
"loading ";"Kingdom";"Tomatoes";"August";2.3
"loading ";"Kingdom";"Tomatoes";"September";2.3
"loading ";"Kingdom";"Tomatoes";"October";2.3
"loading ";"Kingdom";"Tomatoes";"November";2.3
"loading ";"Kingdom";"Tomatoes";"December";2.3
"loading ";"Up-Land";"Tomatoes";"January";2.3
"loading ";"Up-Land";"Tomatoes";"February";2.3
"loading ";"Up-Land";"Tomatoes";"March";2.3
"loading ";"Up-Land";"Tomatoes";"April";2.3
"loading ";"Up-Land";"Tomatoes";"May";2.3
"loading ";"Up-Land";"Tomatoes";"June";2.3
"loading ";"Up-Land";"Tomatoes";"July";2.3
"loading ";"Up-Land";"Tomatoes";"August";2.3
"loading ";"Up-Land";"Tomatoes";"September";2.3
"loading ";"Up-Land";"Tomatoes";"October";2.3
"loading ";"Up-Land";"Tomatoes";"November";2.3
"loading ";"Up-Land";"Tomatoes";"December";2.3
"loading ";"Al-Aghouar";"Tomatoes";"January";2.3
"loading ";"Al-Aghouar";"Tomatoes";"February";2.3
"loading ";"Al-Aghouar";"Tomatoes";"March";2.3
"loading ";"Al-Aghouar";"Tomatoes";"April";2.3
"loading ";"Al-Aghouar";"Tomatoes";"May";2.3
"loading ";"Al-Aghouar";"Tomatoes";"June";2.3
"loading ";"Al-Aghouar";"Tomatoes";"July";2.3
"loading ";"Al-Aghouar";"Tomatoes";"August";2.3
"loading ";"Al-Aghouar";"Tomatoes";"September";2.3
"loading ";"Al-Aghouar";"Tomatoes";"October";2.3
"loading ";"Al-Aghouar";"Tomatoes";"November";2.3
"loading ";"Al-Aghouar";"Tomatoes";"December";2.3
"Transportation";"Kingdom";"Tomatoes";"January";19.0
"Transportation";"Kingdom";"Tomatoes";"February";17.3
"Transportation";"Kingdom";"Tomatoes";"March";16.9
"Transportation";"Kingdom";"Tomatoes";"April";15.9
"Transportation";"Kingdom";"Tomatoes";"May";18.8
"Transportation";"Kingdom";"Tomatoes";"June";15.0
"Transportation";"Kingdom";"Tomatoes";"July";12.8
"Transportation";"Kingdom";"Tomatoes";"August";14.1
"Transportation";"Kingdom";"Tomatoes";"September";13.3
"Transportation";"Kingdom";"Tomatoes";"October";16.3
"Transportation";"Kingdom";"Tomatoes";"November";13.6
"Transportation";"Kingdom";"Tomatoes";"December";17.4
"Transportation";"Up-Land";"Tomatoes";"January";15.1
"Transportation";"Up-Land";"Tomatoes";"February";12.5
"Transportation";"Up-Land";"Tomatoes";"March";11.4
"Transportation";"Up-Land";"Tomatoes";"April";11.1
"Transportation";"Up-Land";"Tomatoes";"May";10.9
"Transportation";"Up-Land";"Tomatoes";"June";11.2
"Transportation";"Up-Land";"Tomatoes";"July";12.1
"Transportation";"Up-Land";"Tomatoes";"August";13.9
"Transportation";"Up-Land";"Tomatoes";"September";12.9
"Transportation";"Up-Land";"Tomatoes";"October";16.4
"Transportation";"Up-Land";"Tomatoes";"November";12.9
"Transportation";"Up-Land";"Tomatoes";"December";15.9
"Transportation";"Al-Aghouar";"Tomatoes";"January";21.1
"Transportation";"Al-Aghouar";"Tomatoes";"February";17.9
"Transportation";"Al-Aghouar";"Tomatoes";"March";17.7
"Transportation";"Al-Aghouar";"Tomatoes";"April";16.8
"Transportation";"Al-Aghouar";"Tomatoes";"May";20.9
"Transportation";"Al-Aghouar";"Tomatoes";"June";19.0
"Transportation";"Al-Aghouar";"Tomatoes";"July";15.9
"Transportation";"Al-Aghouar";"Tomatoes";"August";15.9
"Transportation";"Al-Aghouar";"Tomatoes";"September";15.8
"Transportation";"Al-Aghouar";"Tomatoes";"October";16.0
"Transportation";"Al-Aghouar";"Tomatoes";"November";15.9
"Transportation";"Al-Aghouar";"Tomatoes";"December";19.2
"Market";"Kingdom";"Tomatoes";"January";17.8
"Market";"Kingdom";"Tomatoes";"February";17.5
"Market";"Kingdom";"Tomatoes";"March";17.4
"Market";"Kingdom";"Tomatoes";"April";16.7
"Market";"Kingdom";"Tomatoes";"May";18.0
"Market";"Kingdom";"Tomatoes";"June";16.4
