"Agriculture Prices by Marketing Costs / Prices, Level, Crop, Month and Time"

"Marketing Costs / Prices";"Level";"Crop";"Month";"2020";"2021";"2022";"2023";"2024"
"Packs";"Kingdom";"Wheat";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"June";8.0;8.0;8.0;10.0;10.0
"Packs";"Kingdom";"Wheat";"July";8.0;8.0;8.0;10.0;10.0
"Packs";"Kingdom";"Wheat";"August";8.0;8.0;8.0;10.0;10.0
"Packs";"Kingdom";"Wheat";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Wheat";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"June";8.0;8.0;8.0;10.0;10.0
"Packs";"Kingdom";"Barley grain";"July";8.0;8.0;8.0;10.0;10.0
"Packs";"Kingdom";"Barley grain";"August";8.0;8.0;8.0;10.0;10.0
"Packs";"Kingdom";"Barley grain";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Barley grain";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Triticale ";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"March";0.0;0.0;0.0;0.0;49.8
"Packs";"Kingdom";"Asparagus";"April";0.0;0.0;0.0;49.8;50.0
"Packs";"Kingdom";"Asparagus";"May";0.0;0.0;0.0;50.0;50.3
"Packs";"Kingdom";"Asparagus";"June";0.0;0.0;0.0;0.0;49.5
"Packs";"Kingdom";"Asparagus";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Asparagus";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"April";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"November";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"White Cabbage ";"December";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Red Cabbage";"January";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"February";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"March";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"April";55.0;54.9;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"May";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"June";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"July";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"August";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"September";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"October";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"November";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Red Cabbage";"December";55.0;55.0;55.0;38.6;38.6
"Packs";"Kingdom";"Chinese cabbage";"January";36.2;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"February";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"March";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"April";0.0;36.7;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"May";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"June";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"July";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"August";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"September";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"October";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"November";0.0;36.3;0.0;0.0;0.0
"Packs";"Kingdom";"Chinese cabbage";"December";0.0;36.5;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"January";0.0;0.0;0.0;0.0;0.0
"Packs";"Kingdom";"Crambe ";"February";0.0;0.0;0.0;0.0;0.0
